year,council,income,Roading,Transportation,Water supply,Wastewater,Solid waste/refuse,Environmental protection,Culture,Recreation and sport,Property,Emergency management,Planning and regulation,Community development,Economic development,Governance,Council support services,Other activities,Total
2014,Napier City Council,Regulatory income and petrol tax,392,1536,0,0,0,0,0,0,0,0,2132,0,0,0,28,0,4088
2014,Napier City Council,"Current grants, subsidies, and donations income",0,0,0,176,0,0,856,38,0,0,0,296,140,0,0,0,1506
2014,Napier City Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3284,0,3284
2014,Napier City Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2014,Napier City Council,Sales and other operating income,233,1058,494,455,3338,0,1478,2175,11471,6,175,5606,96,101,178,649,27513
2014,Napier City Council,Total operating income,5929,2594,7395,7129,5708,0,8566,10192,12102,378,5660,7494,2871,2664,3929,649,83260
2014,Napier City Council,Employee costs,356,404,119,397,100,0,3549,1425,995,120,2047,302,2958,597,14466,-88,27747
2014,Napier City Council,Depreciation and amortisation,7108,204,1472,5437,743,0,527,2101,1402,22,33,21,918,3,1308,0,21299
2014,Napier City Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,236
2014,Napier City Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,108
2014,Napier City Council,Purchases and other operating expenditure,6968,22,1845,2981,4304,0,5266,6363,3606,3,1007,1,3984,6,-4601,0,31755
2014,Napier City Council,Total operating expenditure,14432,630,3436,8815,5147,0,9342,9889,6003,145,3087,324,7860,606,11517,-88,81145
2014,Napier City Council,Operating surplus/deficit,-8503,1964,3959,-1686,561,0,-776,303,6099,233,2573,7170,-4989,2058,-7588,737,2115
2014,Nelson City Council,Rates,7571,483,10887,10345,0,762,7539,11197,1759,2181,3982,972,1414,771,-340,46,59569
2014,Nelson City Council,Regulatory income and petrol tax,0,790,0,0,0,0,49,0,0,0,2983,0,0,0,242,0,4064
2014,Nelson City Council,"Current grants, subsidies, and donations income",1491,556,0,0,192,16,446,0,4,-61,64,217,0,0,7,0,2932
2014,Nelson City Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,112
2014,Nelson City Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2881,0,2881
2014,Nelson City Council,Sales and other operating income,655,1502,52,1978,3325,0,761,4401,3198,13,207,5,0,62,3966,0,20125
2014,Nelson City Council,Total operating income,9717,3331,10939,12323,3517,778,8795,15598,4961,2133,7236,1194,1414,833,6868,46,89683
2014,Nelson City Council,Employee costs,1129,663,1355,1605,344,187,1971,2007,547,356,2384,276,318,1047,1379,150,15718
2014,Nelson City Council,Depreciation and amortisation,5218,178,4084,4700,367,128,683,2647,976,11,42,20,0,10,1196,0,20260
2014,Nelson City Council,"Current grants, subsidies, and donations expenditure",0,5,0,0,6,54,557,742,0,0,11,530,303,9,422,0,2639
2014,Nelson City Council,Interest expenditure,0,0,0,0,0,0,0,0,117,0,0,0,0,0,2743,0,2860
2014,Nelson City Council,Purchases and other operating expenditure,4598,2771,4620,5909,2535,1019,5350,8260,3539,141,4826,366,788,246,1406,6,46380
2014,Nelson City Council,Total operating expenditure,10945,3617,10059,12214,3252,1388,8561,13656,5179,508,7263,1192,1409,1312,7146,156,87857
2014,Nelson City Council,Operating surplus/deficit,-1228,-286,880,109,265,-610,234,1942,-218,1625,-27,2,5,-479,-278,-110,1826
2014,New Plymouth District Council,Rates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,69641,70098
2014,New Plymouth District Council,Regulatory income and petrol tax,530,0,0,0,0,0,0,0,0,0,4874,0,0,0,0,0,5404
2014,New Plymouth District Council,"Current grants, subsidies, and donations income",3746,0,0,0,0,0,691,307,7,0,0,54,0,0,1,11,4817
2014,New Plymouth District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1605,0,1605
2014,New Plymouth District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102,0,2102
2014,New Plymouth District Council,Sales and other operating income,549,3457,3705,2357,6401,0,606,3644,4347,24,703,6,0,229,363,2570,28961
2014,New Plymouth District Council,Total operating income,4825,3457,3705,2357,6401,0,1297,3951,4354,24,5577,60,0,229,4528,72222,112987
2014,New Plymouth District Council,Employee costs,689,362,9,291,0,606,6132,6884,1262,0,3423,376,0,1404,14269,0,35707
2014,New Plymouth District Council,Depreciation and amortisation,10346,254,3913,7132,601,0,876,1529,3992,0,1,0,0,0,1412,0,30056
2014,New Plymouth District Council,"Current grants, subsidies, and donations expenditure",24,0,16,0,0,29,25,2,0,0,0,2619,0,16,457,0,3188
2014,New Plymouth District Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4315,4315
2014,New Plymouth District Council,Purchases and other operating expenditure,8631,735,2824,4852,3499,295,2859,6544,4839,382,1040,216,2757,821,6249,5017,51560
2014,New Plymouth District Council,Total operating expenditure,19690,1351,6762,12275,4100,930,9892,14959,10093,382,4464,3211,2757,2241,22387,9332,124826
2014,New Plymouth District Council,Operating surplus/deficit,-14865,2106,-3057,-9918,2301,-930,-8595,-11008,-5739,-358,1113,-3151,-2757,-2012,-17859,62890,-11839
2014,Northland Regional Council,Rates,0,925,0,0,0,10503,0,1221,0,0,654,2601,458,1169,812,0,18343
2014,Northland Regional Council,Regulatory income and petrol tax,0,626,0,0,0,2356,0,0,59,176,829,0,81,0,476,0,4603
2014,Northland Regional Council,"Current grants, subsidies, and donations income",0,917,0,0,0,626,0,0,0,0,112,0,0,0,0,0,1655
2014,Northland Regional Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1505,0,1505
2014,Northland Regional Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2327,0,2327
2014,Northland Regional Council,Sales and other operating income,0,0,0,0,0,0,0,0,3312,0,0,0,0,0,0,0,3312
2014,Northland Regional Council,Total operating income,0,2468,0,0,0,13485,0,1221,3371,176,1595,2601,539,1169,5120,0,31745
2014,Northland Regional Council,Employee costs,0,265,0,0,0,5120,0,0,0,357,1769,149,72,689,2368,0,10789
2014,Northland Regional Council,Depreciation and amortisation,0,0,0,0,0,270,0,0,0,0,98,0,0,0,814,0,1182
2014,Northland Regional Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,775,0,0,0,0,0,801,1229,0,445,0,3250
2014,Northland Regional Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,102
2014,Northland Regional Council,Purchases and other operating expenditure,0,1932,0,0,0,4780,0,0,475,44,1413,502,247,990,2488,0,12871
2014,Northland Regional Council,Total operating expenditure,0,2197,0,0,0,10945,0,0,475,401,3280,1452,1548,1679,6217,0,28194
2014,Northland Regional Council,Operating surplus/deficit,0,271,0,0,0,2540,0,1221,2896,-225,-1685,1149,-1009,-510,-1097,0,3551
2014,Opotiki District Council,Rates,1980,0,1064,813,938,0,217,705,170,199,788,525,57,1214,0,90,8760
2014,Opotiki District Council,Regulatory income and petrol tax,59,0,42,9,255,0,22,0,0,13,33,0,0,0,92,0,525
2014,Opotiki District Council,"Current grants, subsidies, and donations income",721,0,0,0,8,0,0,0,0,0,0,33,585,0,0,0,1347
2014,Opotiki District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,71
2014,Opotiki District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Opotiki District Council,Sales and other operating income,0,0,225,10,0,0,12,157,158,0,286,0,9,0,189,0,1046
2014,Opotiki District Council,Total operating income,2760,0,1331,832,1201,0,251,862,328,212,1107,558,651,1214,352,90,11749
2014,Opotiki District Council,Employee costs,0,0,0,39,389,0,126,158,0,11,405,0,227,189,1367,0,2911
2014,Opotiki District Council,Depreciation and amortisation,1311,0,235,360,17,0,41,11,196,5,0,0,2,0,180,0,2358
2014,Opotiki District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,202
2014,Opotiki District Council,Interest expenditure,9,0,97,26,3,0,0,11,54,0,0,0,0,0,0,0,200
2014,Opotiki District Council,Purchases and other operating expenditure,1700,0,424,326,636,0,32,557,240,137,200,64,261,142,24,9,4752
2014,Opotiki District Council,Total operating expenditure,3020,0,756,751,1045,0,199,737,490,153,605,266,490,331,1571,9,10423
2014,Opotiki District Council,Operating surplus/deficit,-260,0,575,81,156,0,52,125,-162,59,502,292,161,883,-1219,81,1326
2014,Otago Regional Council,Rates,0,3481,0,0,0,7646,0,0,0,105,320,0,0,4098,0,0,15650
2014,Otago Regional Council,Regulatory income and petrol tax,0,0,0,0,0,1221,0,0,0,0,156,0,0,0,316,0,1693
2014,Otago Regional Council,"Current grants, subsidies, and donations income",0,4880,2,0,0,229,0,0,0,0,0,0,0,0,0,0,5111
2014,Otago Regional Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2432,0,2432
2014,Otago Regional Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7100,0,7100
2014,Otago Regional Council,Sales and other operating income,0,406,0,0,0,1850,0,0,0,0,38,0,0,72,1297,0,3663
2014,Otago Regional Council,Total operating income,0,8767,2,0,0,10946,0,0,0,105,514,0,0,4170,11145,0,35649
2014,Otago Regional Council,Employee costs,0,360,0,0,0,4334,0,0,0,77,364,0,0,530,5726,0,11391
2014,Otago Regional Council,Depreciation and amortisation,0,0,0,0,0,450,0,0,0,0,0,0,0,0,831,0,1281
2014,Otago Regional Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,350
2014,Otago Regional Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,492,0,0,492
2014,Otago Regional Council,Purchases and other operating expenditure,0,7889,0,0,0,4450,0,0,0,101,274,0,0,2431,1939,0,17084
2014,Otago Regional Council,Total operating expenditure,0,8249,0,0,0,9234,0,0,0,178,638,0,0,3803,8496,0,30598
2014,Otago Regional Council,Operating surplus/deficit,0,518,2,0,0,1712,0,0,0,-73,-124,0,0,367,2649,0,5051
2014,Otorohanga District Council,Rates,4701,0,597,503,398,205,300,1017,105,131,468,257,266,923,696,0,10567
2014,Otorohanga District Council,Regulatory income and petrol tax,77,0,0,0,0,0,0,0,0,0,444,0,0,0,181,0,702
2014,Otorohanga District Council,"Current grants, subsidies, and donations income",1556,0,0,0,40,77,0,0,0,0,9,21,0,0,0,0,1703
2014,Otorohanga District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,65
2014,Otorohanga District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
2014,Otorohanga District Council,Sales and other operating income,43,0,693,59,0,56,22,43,295,0,10,14,0,0,159,0,1394
2014,Otorohanga District Council,Total operating income,6377,0,1290,562,438,338,322,1060,400,131,931,292,266,923,1112,0,14442
2014,Otorohanga District Council,Employee costs,474,0,197,0,42,0,146,0,0,0,374,0,0,230,1547,0,3010
2014,Otorohanga District Council,Depreciation and amortisation,2802,0,362,204,3,102,60,107,85,5,0,0,0,0,214,0,3944
2014,Otorohanga District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,6,0,0,17,257,0,0,0,280
2014,Otorohanga District Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618,0,618
2014,Otorohanga District Council,Purchases and other operating expenditure,2155,0,837,192,269,156,77,795,214,84,377,260,0,198,787,0,6401
2014,Otorohanga District Council,Total operating expenditure,5431,0,1396,396,314,258,283,902,305,89,751,277,257,428,3166,0,14253
2014,Otorohanga District Council,Operating surplus/deficit,946,0,-106,166,124,80,39,158,95,42,180,15,9,495,-2054,0,189
2014,Palmerston North City Council,Rates,12088,-1682,5027,7928,5008,0,11629,12501,1141,424,6418,2486,2324,2058,9807,0,77157
2014,Palmerston North City Council,Regulatory income and petrol tax,563,1675,0,0,0,0,0,0,0,0,3911,0,0,0,558,0,6707
2014,Palmerston North City Council,"Current grants, subsidies, and donations income",1901,0,0,0,240,0,0,0,2,2,5,107,0,0,0,0,2257
2014,Palmerston North City Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,65
2014,Palmerston North City Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,203
2014,Palmerston North City Council,Sales and other operating income,325,2155,1764,801,2447,0,363,1836,4779,4,16,91,89,140,3624,0,18434
2014,Palmerston North City Council,Total operating income,14877,2148,6791,8729,7695,0,11992,14337,5922,430,10350,2684,2413,2198,14257,0,104823
2014,Palmerston North City Council,Employee costs,1643,280,0,0,937,0,4459,1427,332,224,3778,0,0,1058,20070,0,34208
2014,Palmerston North City Council,Depreciation and amortisation,9091,314,2097,3465,491,0,2363,3138,3046,4,211,1,7,9,1795,0,26032
2014,Palmerston North City Council,"Current grants, subsidies, and donations expenditure",60,0,0,0,0,0,3037,455,0,0,36,1579,1816,0,461,0,7444
2014,Palmerston North City Council,Interest expenditure,0,0,0,0,55,0,0,0,-4,0,0,0,0,0,8099,0,8150
2014,Palmerston North City Council,Purchases and other operating expenditure,4311,1058,812,2502,286,0,2067,3398,2255,48,3571,184,586,465,10850,0,32393
2014,Palmerston North City Council,Total operating expenditure,15105,1652,2909,5967,1769,0,11926,8418,5629,276,7596,1764,2409,1532,41275,0,108227
2014,Palmerston North City Council,Operating surplus/deficit,-228,496,3882,2762,5926,0,66,5919,293,154,2754,920,4,666,-27018,0,-3404
2014,Porirua City Council,Rates,0,-7,-117,-880,0,0,-10,-239,-336,0,0,0,0,0,50168,0,48579
2014,Porirua City Council,Regulatory income and petrol tax,220,0,0,0,0,0,44,0,0,0,2396,0,0,0,225,0,2885
2014,Porirua City Council,"Current grants, subsidies, and donations income",1225,0,0,0,154,0,146,40,1,0,2,6,100,0,18,0,1692
2014,Porirua City Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,403
2014,Porirua City Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
2014,Porirua City Council,Sales and other operating income,62,199,769,32,4351,0,361,2761,2062,1,0,146,131,170,826,0,11871
2014,Porirua City Council,Total operating income,1507,192,652,-848,4505,0,541,2562,1727,1,2398,152,231,170,51646,0,65436
2014,Porirua City Council,Employee costs,129,7,2,10,95,0,2480,2324,310,4,2055,1170,517,715,12016,0,21834
2014,Porirua City Council,Depreciation and amortisation,2956,1419,2063,6143,645,0,754,2291,763,130,38,2,1,7,1641,0,18853
2014,Porirua City Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,1,0,33,193,38,0,0,207,6,3,347,0,828
2014,Porirua City Council,Interest expenditure,0,0,0,0,271,0,0,0,0,0,0,0,0,0,3240,0,3511
2014,Porirua City Council,Purchases and other operating expenditure,2842,537,3735,2111,3447,0,1523,3501,1825,292,658,1229,879,382,4577,0,27538
2014,Porirua City Council,Total operating expenditure,5927,1963,5800,8264,4459,0,4790,8309,2936,426,2751,2608,1403,1107,21821,0,72564
2014,Porirua City Council,Operating surplus/deficit,-4420,-1771,-5148,-9112,46,0,-4249,-5747,-1209,-425,-353,-2456,-1172,-937,29825,0,-7128
2014,Queenstown Lakes District Council,Rates,12809,-45,7086,7937,2302,0,1916,7563,1410,308,4181,1542,4103,5434,0,0,56546
2014,Queenstown Lakes District Council,Regulatory income and petrol tax,0,544,0,0,0,0,0,0,0,0,5697,0,0,0,557,0,6798
2014,Queenstown Lakes District Council,"Current grants, subsidies, and donations income",3267,0,0,0,73,0,10,141,0,23,0,104,0,0,0,0,3618
2014,Queenstown Lakes District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Queenstown Lakes District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730,0,2730
2014,Queenstown Lakes District Council,Sales and other operating income,437,1529,91,315,3832,0,72,4541,2938,1,733,528,0,16,260,0,15293
2014,Queenstown Lakes District Council,Total operating income,16513,2028,7177,8252,6207,0,1998,12245,4348,332,10611,2174,4103,5450,3547,0,84985
2014,Queenstown Lakes District Council,Employee costs,0,0,0,0,0,0,791,2805,325,41,3553,83,0,1009,7444,0,16051
2014,Queenstown Lakes District Council,Depreciation and amortisation,8367,265,2302,4627,117,0,412,2974,336,86,13,0,0,0,888,0,20387
2014,Queenstown Lakes District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,385,3970,0,0,0,4355
2014,Queenstown Lakes District Council,Interest expenditure,1302,94,676,1383,251,0,0,917,873,0,367,0,0,0,88,0,5951
2014,Queenstown Lakes District Council,Purchases and other operating expenditure,6730,716,3779,4526,5347,0,301,5002,3531,175,5450,1786,0,1916,2893,0,42152
2014,Queenstown Lakes District Council,Total operating expenditure,16399,1075,6757,10536,5715,0,1504,11698,5065,302,9383,2254,3970,2925,11313,0,88896
2014,Queenstown Lakes District Council,Operating surplus/deficit,114,953,420,-2284,492,0,494,547,-717,30,1228,-80,133,2525,-7766,0,-3911
2014,Rangitikei District Council,Rates,6171,0,3238,3398,454,0,964,1679,473,281,916,0,357,1112,96,158,19297
2014,Rangitikei District Council,Regulatory income and petrol tax,112,0,0,0,0,0,0,0,0,0,939,0,0,0,497,0,1548
2014,Rangitikei District Council,"Current grants, subsidies, and donations income",3836,0,0,0,47,0,126,0,0,0,3,0,0,47,0,0,4059
2014,Rangitikei District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,416
2014,Rangitikei District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Rangitikei District Council,Sales and other operating income,0,0,1319,235,361,0,12,20,379,21,0,0,26,0,27,10,2410
2014,Rangitikei District Council,Total operating income,10119,0,4557,3633,862,0,1102,1699,852,302,1858,0,383,1159,1036,168,27730
2014,Rangitikei District Council,Employee costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2401,0,2401
2014,Rangitikei District Council,Depreciation and amortisation,6208,0,1136,876,30,0,105,286,396,35,0,0,5,0,388,0,9465
2014,Rangitikei District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,697,0,697
2014,Rangitikei District Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,103
2014,Rangitikei District Council,Purchases and other operating expenditure,6400,0,1569,1042,839,0,122,1117,680,191,283,0,507,709,2671,0,16130
2014,Rangitikei District Council,Total operating expenditure,12608,0,2705,1918,869,0,227,1403,1076,226,283,0,512,709,6260,0,28796
2014,Rangitikei District Council,Operating surplus/deficit,-2489,0,1852,1715,-7,0,875,296,-224,76,1575,0,-129,450,-5224,168,-1066
2014,Rotorua District Council,Rates,8848,1773,3076,10595,2227,1448,9108,9932,719,414,2137,1159,8265,1432,2122,4767,68022
2014,Rotorua District Council,Regulatory income and petrol tax,531,1597,9,662,0,0,100,0,0,0,2910,0,0,0,1293,0,7102
2014,Rotorua District Council,"Current grants, subsidies, and donations income",2321,263,0,0,0,0,199,45,58,8,9,330,5,0,0,0,3238
2014,Rotorua District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,76
2014,Rotorua District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Rotorua District Council,Sales and other operating income,943,1688,3549,453,2780,0,3621,3063,1210,0,66,1,1747,146,378,26,19671
2014,Rotorua District Council,Total operating income,12643,5321,6634,11710,5007,1448,13028,13040,1987,422,5122,1490,10017,1578,3869,4793,98109
2014,Rotorua District Council,Employee costs,196,655,1424,3539,760,0,4805,4249,1786,106,3644,594,2085,218,11850,0,35911
2014,Rotorua District Council,Depreciation and amortisation,5944,1113,2923,6621,297,0,3138,2550,1991,31,10,78,112,0,2623,0,27431
2014,Rotorua District Council,"Current grants, subsidies, and donations expenditure",11,0,0,0,322,0,216,24,71,41,26,429,23,20,4,0,1187
2014,Rotorua District Council,Interest expenditure,1919,1922,501,1189,858,0,731,1053,264,0,0,0,146,0,-352,0,8231
2014,Rotorua District Council,Purchases and other operating expenditure,6339,830,2099,4610,3503,0,4051,3450,1735,182,1385,338,4465,1232,6049,0,40268
2014,Rotorua District Council,Total operating expenditure,14409,4520,6947,15959,5740,0,12941,11326,5847,360,5065,1439,6831,1470,20174,0,113028
2014,Rotorua District Council,Operating surplus/deficit,-1766,801,-313,-4249,-733,1448,87,1714,-3860,62,57,51,3186,108,-16305,4793,-14919
2014,Ruapehu District Council,Rates,4817,0,2713,2865,1200,0,0,2237,0,1475,1870,0,0,1621,575,0,19373
2014,Ruapehu District Council,Regulatory income and petrol tax,176,0,0,2,0,0,0,0,0,879,731,0,0,0,166,0,1954
2014,Ruapehu District Council,"Current grants, subsidies, and donations income",4984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4984
2014,Ruapehu District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36
2014,Ruapehu District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
2014,Ruapehu District Council,Sales and other operating income,1820,0,190,0,18,0,0,29,0,10,61,0,0,42,0,0,2170
2014,Ruapehu District Council,Total operating income,11797,0,2903,2867,1218,0,0,2266,0,2364,2662,0,0,1663,788,0,28528
2014,Ruapehu District Council,Employee costs,2117,0,0,305,393,0,0,536,0,519,213,0,0,124,0,0,4207
2014,Ruapehu District Council,Depreciation and amortisation,4573,0,1298,1105,122,0,0,900,0,0,0,0,0,0,0,339,8337
2014,Ruapehu District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,575
2014,Ruapehu District Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707,0,1707
2014,Ruapehu District Council,Purchases and other operating expenditure,9274,0,1911,1529,316,0,0,201,0,63,0,0,0,87,2953,0,16334
2014,Ruapehu District Council,Total operating expenditure,15964,0,3209,2939,831,0,0,1637,0,582,213,0,0,211,5235,339,31160
2014,Ruapehu District Council,Operating surplus/deficit,-4167,0,-306,-72,387,0,0,629,0,1782,2449,0,0,1452,-4447,-339,-2632
2014,Selwyn District Council,Rates,3127,0,5495,4116,4097,0,0,8356,0,0,2400,1463,0,2263,44,0,31361
2014,Selwyn District Council,Regulatory income and petrol tax,167,0,0,0,0,0,0,0,0,0,6136,0,0,0,305,0,6608
2014,Selwyn District Council,"Current grants, subsidies, and donations income",2501,0,0,0,0,0,0,108,0,0,129,216,0,0,86,0,3040
2014,Selwyn District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2245,0,2245
2014,Selwyn District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4664,0,4664
2014,Selwyn District Council,Sales and other operating income,0,0,1076,570,1515,0,0,3124,32,0,0,112,0,64,1737,0,8230
2014,Selwyn District Council,Total operating income,5795,0,6571,4686,5612,0,0,11588,32,0,8665,1791,0,2327,9081,0,56148
2014,Selwyn District Council,Employee costs,0,0,0,0,0,0,888,1227,536,192,4736,484,0,0,6335,0,14398
2014,Selwyn District Council,Depreciation and amortisation,9994,0,2934,4863,162,0,289,1432,578,0,124,654,0,0,365,0,21395
2014,Selwyn District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,209
2014,Selwyn District Council,Interest expenditure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5254,0,5254
2014,Selwyn District Council,Purchases and other operating expenditure,7383,0,5074,6537,5380,0,0,0,1838,0,0,0,0,0,8215,0,34427
2014,Selwyn District Council,Total operating expenditure,17377,0,8008,11400,5542,0,1177,2659,2952,192,4860,1138,0,0,20378,0,75683
2014,Selwyn District Council,Operating surplus/deficit,-11582,0,-1437,-6714,70,0,-1177,8929,-2920,-192,3805,653,0,2327,-11297,0,-19535
2014,South Taranaki District Council,Rates,6824,207,3873,4285,2604,0,2343,2611,656,289,952,691,789,2210,381,335,29050
2014,South Taranaki District Council,Regulatory income and petrol tax,200,143,0,69,197,0,10,0,0,0,1348,0,0,0,171,0,2138
2014,South Taranaki District Council,"Current grants, subsidies, and donations income",3840,0,-360,0,84,0,36,19,6,0,0,251,0,118,0,0,3994
2014,South Taranaki District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,86
2014,South Taranaki District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29
2014,South Taranaki District Council,Sales and other operating income,269,0,6936,700,1034,0,177,870,740,17,132,0,62,3,373,0,11313
2014,South Taranaki District Council,Total operating income,11133,350,10449,5054,3919,0,2566,3500,1402,306,2432,942,851,2331,1040,335,46610
2014,South Taranaki District Council,Employee costs,167,23,242,180,113,0,1317,1357,117,92,1256,401,183,459,5089,34,11030
2014,South Taranaki District Council,Depreciation and amortisation,5589,0,2990,2167,45,0,321,1170,760,11,23,0,6,0,687,71,13840
2014,South Taranaki District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,169,2,50,80,43,270,172,580,0,0,1366
2014,South Taranaki District Council,Interest expenditure,72,1,2336,1027,134,0,15,1280,202,2,12,68,88,1,321,25,5584
2014,South Taranaki District Council,Purchases and other operating expenditure,6957,46,2063,2270,3147,0,333,2051,1131,135,818,65,261,421,2980,176,22854
2014,South Taranaki District Council,Total operating expenditure,12785,70,7631,5644,3439,0,2155,5860,2260,320,2152,804,710,1461,9077,306,54674
2014,South Taranaki District Council,Operating surplus/deficit,-1652,280,2818,-590,480,0,411,-2360,-858,-14,280,138,141,870,-8037,29,-8064
2014,South Waikato District Council,Rates,4290,69,1852,3053,1288,0,1246,2800,501,326,1756,1497,556,1488,170,302,21194
2014,South Waikato District Council,Regulatory income and petrol tax,299,22,0,0,0,0,0,0,0,0,906,0,0,0,323,0,1550
2014,South Waikato District Council,"Current grants, subsidies, and donations income",1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009
2014,South Waikato District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,707
2014,South Waikato District Council,Dividend income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,0,498
2014,South Waikato District Council,Sales and other operating income,0,0,461,291,1201,0,71,348,470,10,125,31,0,40,0,0,3048
2014,South Waikato District Council,Total operating income,5598,91,2313,3344,2489,0,1317,3148,971,336,2787,1528,556,1528,1698,302,28006
2014,South Waikato District Council,Employee costs,0,0,0,0,38,0,500,660,0,85,947,95,211,0,5672,0,8208
2014,South Waikato District Council,Depreciation and amortisation,3188,6,851,1443,175,0,118,566,0,15,0,0,0,622,0,187,7171
2014,South Waikato District Council,"Current grants, subsidies, and donations expenditure",0,0,0,0,0,0,0,0,0,0,0,195,0,0,184,0,379
2014,South Waikato District Council,Interest expenditure,163,0,0,0,49,0,36,16,96,0,0,22,46,0,25,71,524
2014,South Waikato District Council,Purchases and other operating expenditure,3472,22,1181,1690,1674,0,173,1551,395,91,61,0,1715,0,403,504,12932
2014,South Waikato District Council,Total operating expenditure,6823,28,2032,3133,1936,0,827,2793,491,191,1008,312,1972,622,6284,762,29214
2014,South Waikato District Council,Operating surplus/deficit,-1225,63,281,211,553,0,490,355,480,145,1779,1216,-1416,906,-4586,-460,-1208
2014,South Wairarapa District Council,Rates,2463,0,2164,1568,1150,0,622,646,433,297,995,143,142,635,258,0,11516
2014,South Wairarapa District Council,Regulatory income and petrol tax,77,0,179,19,219,0,33,22,47,1,722,0,0,0,252,0,1571
2014,South Wairarapa District Council,"Current grants, subsidies, and donations income",1784,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,1798
2014,South Wairarapa District Council,Interest income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,278
